x,y,z,date,scanner1,scanner2,scanner3
3,3,1,2021-08-01 21:28:53.308000,-80,-65,-81
3,3,1,2021-08-01 21:28:53.308000,-75,-66,-81
3,3,1,2021-08-01 21:28:53.308000,-80,-65,-76
3,3,1,2021-08-01 21:28:53.308000,-83,-60,-255
3,3,1,2021-08-01 21:29:53.308000,-84,-76,-75
3,3,1,2021-08-01 21:29:53.308000,-79,-78,-86
3,3,1,2021-08-01 21:29:53.308000,-83,-77,-66
3,3,1,2021-08-01 21:29:53.308000,-255,-80,-85
3,3,1,2021-08-01 21:29:53.308000,-255,-81,-75
3,3,1,2021-08-01 21:29:53.308000,-255,-79,-75
3,3,1,2021-08-01 21:29:53.308000,-81,-66,-72
3,3,1,2021-08-01 21:29:53.308000,-80,-60,-76
3,3,1,2021-08-01 21:29:53.308000,-75,-85,-80
3,3,1,2021-08-01 21:29:53.308000,-81,-61,-75
3,3,1,2021-08-01 21:29:53.308000,-75,-66,-81
3,3,1,2021-08-01 21:29:53.308000,-80,-63,-72
3,3,1,2021-08-01 21:29:53.308000,-79,-61,-255
3,3,1,2021-08-01 21:29:53.308000,-81,-255,-255
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-67
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-74
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-67
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-74
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-71
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-72
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-76
3,4,1,2021-08-01 21:30:53.308000,-255,-255,-80
4,4,1,2021-08-01 21:31:53.308000,-83,-84,-84
4,4,1,2021-08-01 21:31:53.308000,-76,-92,-92
4,4,1,2021-08-01 21:31:53.308000,-255,-84,-255
4,4,1,2021-08-01 21:31:53.308000,-255,-84,-255
4,4,1,2021-08-01 21:31:53.308000,-89,-87,-87
4,4,1,2021-08-01 21:31:53.308000,-83,-86,-87
4,4,1,2021-08-01 21:31:53.308000,-83,-88,-87
4,4,1,2021-08-01 21:31:53.308000,-89,-92,-87
4,4,1,2021-08-01 21:31:53.308000,-83,-255,-255
4,4,1,2021-08-01 21:32:53.308000,-81,-85,-96
4,4,1,2021-08-01 21:32:53.308000,-76,-92,-96
4,4,1,2021-08-01 21:32:53.308000,-81,-83,-255
4,4,1,2021-08-01 21:32:53.308000,-82,-91,-86
4,4,1,2021-08-01 21:32:53.308000,-81,-85,-86
4,4,1,2021-08-01 21:32:53.308000,-83,-89,-87
4,4,1,2021-08-01 21:32:53.308000,-88,-255,-86
4,4,1,2021-08-01 21:32:53.308000,-255,-255,-86
3,4,1,2021-08-01 21:33:53.308000,-83,-90,-87
3,4,1,2021-08-01 21:33:53.308000,-89,-90,-87
3,4,1,2021-08-01 21:33:53.308000,-84,-86,-86
3,4,1,2021-08-01 21:33:53.308000,-255,-90,-87
3,4,1,2021-08-01 21:33:53.308000,-255,-91,-88
